所在页面,一级功能点,二级功能点,三级功能点,为什么做,怎么做,效果怎么样,当初设计为了怎么用
仪表盘 (/),池子状态面板,行情概览,四大池子当日涨跌幅中位数,需要快速判断所在行业整体情绪,从daily snapshot读取4个池子的median_return并排列展示,一眼看出产业链/同业/主题/观察池今天涨跌格局,每日开盘前/收盘后快速扫描行业风向
仪表盘 (/),池子状态面板,Beta分级徽章,positive/neutral/negative三档颜色标签,将连续涨跌幅离散化为可判断的格局标签,根据阈值将pool_state.beta字段映射为颜色徽章,快速看出行业Beta是正向/中性/负向,判断行业整体是否处于做多环境
仪表盘 (/),信号面板,Beta信号组,行业强势/弱势7条规则及触发状态,量化描述行业整体环境对锚定股的影响,对pool_state指标按预设规则计算置信度并打标签,提供可追溯的行业Beta信号依据,判断今日行业Beta对铂力特是顺风还是逆风
仪表盘 (/),信号面板,Alpha信号组,锚定股相对同业强弱9条规则,判断铂力特独立Alpha是否存在,对anchor_position的相对强度做多维规则判断,识别铂力特是否跑赢/跑输同业,判断铂力特当日是否有独立Alpha行情
仪表盘 (/),信号面板,量能信号组,成交量/资金流向8条规则及实际值,量价配合是判断行情真假的重要依据,计算成交量倍数和资金流向并与历史分位对比,判断当日量能是否支撑价格走势,避免追涨无量行情
仪表盘 (/),信号面板,轮动信号组,组间轮动6条规则及强弱spread值,板块内部资金轮动是短线择时的关键,计算各池子强弱spread并判断轮动方向,判断资金是否从其他池流入锚定池,捕捉板块内部轮动机会
仪表盘 (/),信号面板,异常信号组,价格/量能极端异常5条规则,极端情况需要独立预警避免过度损失,检测极端涨跌幅和异常量能偏离,识别当日是否存在异常市场行为,发现尾部风险事件
仪表盘 (/),结论面板,行业Beta判断,positive/neutral/negative最终结论,将散点信号收敛为可操作的最终判断,用决策树聚合Beta信号组结果,给出今日行业Beta的最终结论,减少信号噪音的干扰
仪表盘 (/),结论面板,锚定Alpha判断,跑赢/持平/落后三档综合结论,独立Alpha是选择个股最重要的依据,聚合Alpha信号组判断相对强弱,给出铂力特相对同业的综合Alpha判断,决定今天是否适合持有或加仓
仪表盘 (/),结论面板,风险等级,low/medium/high三档动态风险,需要统一管理仓位风险,根据异常信号和市场波动率给出风险等级,提供明确的风险管控参考,动态调整仓位大小
仪表盘 (/),联动面板,池子联动系数,铂力特vs各池子的相关性和Beta系数,了解铂力特当日受哪个池子主导,计算滚动相关系数和Beta系数并展示,识别当日最强联动来源,判断今日铂力特是在跟随行业还是独立运动
仪表盘 (/),同业排名矩阵,5维相对排名,涨幅/成交额/换手率/资金流向/估值分位排名,单一指标容易被操纵需要多维交叉验证,对排名范围内所有标的做5维排名并高亮锚定股,快速定位铂力特在同业中的综合位置,交易前确认铂力特不处于明显劣势位
今日驾驶舱 (/today),市场归因,当日行情主导来源,4个池子对当日涨跌的贡献分解,行情结束后需要知道今日涨跌的来源,对比锚定股vs各池涨跌幅差异给出主导池子,明确今日行情的驱动力来源,收盘后复盘当日行情归因
今日驾驶舱 (/today),决策参考,综合操作建议,买入/持有/减仓的当日策略建议,当日决策需要一个最终落地的操作建议,整合V2评分+Alpha+Beta+风险等级生成建议,提供明确可操作的当日策略建议,每日收盘后快速制定次日操作计划
今日驾驶舱 (/today),超额收益预期,T+1超额收益卡,次日预期超额收益中位数及分布,知道明天的期望收益决定是否值得建仓,从历史相似case统计T+1超额收益中位数和分布,给出明日预期超额收益区间,评估次日入场的期望收益
今日驾驶舱 (/today),超额收益预期,T+5超额收益卡,5日预期超额收益分布,中期持仓需要了解5日维度的超额收益预期,从历史相似case统计T+5超额收益分布,给出5日持仓的期望超额收益,决定是否值得持仓5天
今日驾驶舱 (/today),超额收益预期,T+10超额收益卡,10日预期超额收益分布,波段操作需要了解10日维度的收益期望,从历史相似case统计T+10超额收益分布,给出10日持仓期望收益区间,决定是否做波段
今日驾驶舱 (/today),状态定位,九宫格当前定位,Beta×Alpha二维9格中的当前位置标注,快速理解当前所处格局并类比历史表现,将industry_beta和anchor_alpha组合为9格矩阵并标记当前位置,直觉化展示当前市场状态位置,判断处于什么格局并关联历史同格局表现
